"Id";"Designator";"Footprint";"Quantity";"Designation";"Supplier and ref";
1;"R68,R140,R75,R74,R6,R141,R142,R85,R144,R62,R3,R162,R90,R71,R160,R51,R2,R57,R13,R110,R91,R95,R93,R135,R146,R17,R41,R145,R70,R143,R19,R96,R20,R4,R72,R84,R65,R53,R114,R97,R1,R33,R31,R40,R14,R8,R112,R164,R147,R43,R15,R94,R61,R73,R7,R111,R124,R18,R161,R134,R125,R55,R39,R16,R92";"R_0402_1005Metric";65;"10K";;;
2;"D56,D44,D15,D20,D59,D34,D14,D33,D48,D30,D55,D27,D19,D60,D13,D16,D43,D47,D38,D29,D37,D28,D24,D23";"SOT-23";24;"BAT54S";;;
3;"C177,C122,C178,C176,C121,C136,C154,C126,C100,C156,C153,C103,C106,C104,C107,C116,C131,C125,C123,C115,C47,C95,C127,C101,C102,C152,C162,C48,C179,C155,C105,C137,C96,C151,C161,C130,C120,C124";"C_0402_1005Metric";38;"330p";;;
4;"R205,R237,R185,R12,R130,R107,R150,R151,R198,R101,R202,R10,R204,R80,R104,R23,R11,R233,R105,R113,R219,R35,R100,R165,R50,R206,R153,R239,R128,R234,R199,R79,R78,R131,R129,R184,R115,R24,R240,R109,R25,R220,R203,R81,R238,R163";"R_0402_1005Metric";46;"330";;;
5;"C6,C30,C72,C18,C145,C170,C113,C28,C29,C41,C46,C20,C167,C143,C146,C68,C58,C42,C141,C5,C4,C8,C76,C14,C144,C38,C182,C169,C39,C31,C166,C71,C180,C171,C7,C55,C10,C168,C26,C23,C45,C24,C12,C1,C142,C32,C25,C63,C62,C52,C54,C93,C27";"C_0402_1005Metric";53;"100n";;;
6;"R243,R207,R208,R242";"R_0805_2012Metric";4;"0.43";;;
7;"C66,C148,C69,C173";"CP_Elec_6.3x5.2";4;"100uF 16V";;;
8;"L3,L2";"L_Ferrocore_DLG-0504";2;"6.8uH 3.6A";;;
9;"U15,U13,U19,U14,U22,U21,U16,U20";"SOT-23-5";8;"SN74LVC1G14DBV";;;
10;"D39,D57,D41,D53,D21,D26,D25,D54,D40,D32,D58,D7,D17,D31,D35,D42,D36,D6,D46,D22,D18,D45";"D_SOD-923";22;"ESD9B5.0ST5G";;;
11;"C51,C79,C73,C74,C78,C50,C75,C77,C56,C49,C9";"C_0805_2012Metric";11;"10u";;;
12;"R172,R176,R123,R231,R196,R122,R138,R218,R182,R191,R226,R89,R88,R212,R139,R177,R217,R197,R225,R173,R190,R183,R211,R232";"R_0402_1005Metric";24;"4K7";;;
13;"C53,C140,C35,C36,C160,C110,C19,C114,C112,C37,C165,C99,C90,C135,C16,C43,C119,C94,C132,C3,C34,C91,C92,C17,C111,C33,C2,C181,C157";"C_0603_1608Metric";29;"1u 16V";;;
14;"R188,R58,R132,R82,R167,R102,R77,R209,R106,R154,R126,R222,R221,R119,R200,R83,R174,R103,R127,R108,R224,R215,R235,R230,R76,R98,R223,R201,R175,R189,R236,R117,R195,R180,R186,R210,R148,R149,R187,R181,R216,R169,R133,R99,R229,R194";"R_0402_1005Metric";46;"100K";;;
15;"R152,R49,R30,R29,R32,R5,R52,R9,R36,R44,R48,R38,R34,R46,R37";"R_0402_1005Metric";15;"22";;;
16;"D50,D49,D61,D62,D63,D52,D64,D51";"D_SOD-323";8;"SD12_SOD323";;;
17;"J11,J14,J7,J10,J9,J12,J13,J8";"RJ12_Amphenol_54601";8;"RJ12";;;
18;"R120,R54,R170,R26,R193,R136,R121,R179,R227,R87,R228,R27,R56,R213,R47,R86,R69,R178,R45,R137,R192,R214,R171";"R_0402_1005Metric";23;"2K4";;;
19;"F10,F8,F6,F9,F5,F3,F7,F4";"R_0603_1608Metric";8;"30mA";;;
20;"R63,R60,R66,R64";"R_0402_1005Metric";4;"51K";;;
21;"U10,U11,U18,U12";"SOIC-14_3.9x8.7mm_P1.27mm";4;"LMV324";;;
22;"Q13,Q27,Q31,Q29,Q36,Q28,Q16,Q35,Q4,Q15,Q37,Q8,Q32,Q34,Q7,Q30,Q20,Q19,Q33";"SOT-23";19;"2N7002";;;
23;"U2";"LQFP-144_20x20mm_P0.5mm";1;"STM32L496ZGTx";;;
24;"C129,C80,C158,C87,C133,C128,C86,C164,C81,C163,C89,C118,C98,C108,C15,C138,C97,C159,C117,C150,C175,C109,C134,C88,C139";"C_0402_1005Metric";25;"10n";;;
25;"Q12,Q9,Q18,Q1,Q5,Q2,Q11,Q10,Q6,Q3,Q17";"SOT-23";11;"BSS84";;;
26;"L1";"L_Chilisin_BMRA00050520";1;"1.2uH 6.5A";;;
27;"SW2,SW5,SW3,SW1";"SW_Push_1P1T_NO_6x6mm_H9.5mm";4;"SW_Omron_B3FS";;;
28;"R116,R118,R168,R166,R42";"R_0402_1005Metric";5;"220K";;;
29;"C60,C13,C174,C11,C149";"C_0603_1608Metric";5;"4u7 16V";;;
30;"U3";"128x64OLED";1;"SSD1306";;;
31;"U7";"SOT-23-5";1;"AP2127K-3.3";;;
32;"D1,D2,D3,D9,D8,D10";"LED_0402_1005Metric";6;"LED";;;
33;"C44,C40,C61,C65,C172,C64,C67,C147,C70,C57,C59";"C_0805_2012Metric";11;"10u 16V";;;
34;"U4";"SOIC-8_5.275x5.275mm_P1.27mm";1;"W25X40CLSS";;;
35;"U8,U9";"SOIC-8-1EP_3.9x4.9mm_P1.27mm_EP2.29x3mm_ThermalVias";2;"PAM2423AECADJR";;;
36;"U1";"LGA-14_3x2.5mm_P0.5mm_LayoutBorder3x4y";1;"LSM6DSL";;;
37;"U17,U23";"HTSSOP-16-1EP_4.4x5mm_P0.65mm_EP3.4x5mm_Mask2.46x2.31mm_ThermalVias";2;"DRV8833PWP";;;
38;"J4";"JST_PH_B2B-PH-K_1x02_P2.00mm_Vertical";1;"Conn_01x02";;;
39;"F2,F1";"R_1812_4532Metric";2;"8V 2A";;;
40;"J2";"PinHeader_2x20_P2.54mm_Vertical";1;"Raspberry_Pi_2_3";;;
41;"C22,C21";"C_0402_1005Metric";2;"6p8";;;
42;"R59,R67";"R_0402_1005Metric";2;"29K4";;;
43;"D5,D4";"D_SOD-523";2;"ESD5Zxx";;;
44;"U6";"Texas_S-PWQFN-N24_EP2.7x2.7mm_ThermalVias";1;"BQ25601";;;
45;"C85,C84";"C_0402_1005Metric";2;"2.2n";;;
46;"Y2";"Crystal_SMD_Abracon_ABM10-4Pin_2.5x2.0mm";1;"8Z-24.000MAAJ-T";;;
47;"J1";"JST_PHD_B10B-PHDSS_2x05_P2.00mm_Vertical";1;"DF11-10DP-2DSA";;;
48;"C83,C82";"C_0402_1005Metric";2;"47p";;;
49;"U5";"WQFN-14-1EP_2.5x2.5mm_P0.5mm_EP1.45x1.45mm";1;"FUSB302B01MPX";;;
50;"D11,D12";"D_SOD-128";2;"FSV330AF";;;
51;"J3";"USB_C_Receptacle_Palconn_UTC16-G";1;"USB_C_Receptacle_USB2.0";;;
52;"D65";"LED_Inolux_IN-PI554FCH_PLCC4_5.0x5.0mm_P3.2mm";1;"Inolux_IN-PI554FCH";;;
53;"TP115,TP136,TP89,TP116,TP105,TP112,TP111,TP74,TP126,TP57,TP103,TP119,TP67,TP79,TP91,TP87,TP30,TP109,TP75,TP110,TP16,TP77,TP96,TP81,TP99,TP78,TP117,TP134,TP130,TP70,TP29,TP124,TP113,TP92,TP8,TP125,TP1,TP127,TP76,TP135,TP95,TP66,TP63,TP142,TP90,TP69,TP64,TP138,TP88,TP93,TP68,TP65,TP6,TP106,TP120,TP128,TP140,TP114,TP122,TP60,TP97,TP141,TP107,TP108,TP62,TP72,TP61,TP80,TP139,TP4,TP143,TP55,TP59,TP104,TP123,TP118,TP86,TP83,TP100,TP11,TP137,TP71,TP101,TP129,TP73,TP98,TP94,TP20,TP131";"TestPoint_Pad_1.0x1.0mm";89;"S1mm";;;
